,name,id,nametype,recclass,mass (g),fall,reclat,reclong,GeoLocation,Year,City,Country
1066,Weston,24249,Valid,H4,150000.0,Fell,41.266667,-73.266667,"(41.266667, -73.266667)",1807.0,trumbull,us
36006,Red River,22548,Valid,"Iron, IIIAB",800000.0,Found,32.0,-95.0,"(32.0, -95.0)",1808.0,henderson,us
175,Caswell County,5296,Valid,OC,1360.0,Fell,36.5,-79.25,"(36.5, -79.25)",1810.0,danville,us
5306,Cambria,5203,Valid,"Iron, ungrouped",16300.0,Found,43.2,-78.8,"(43.2, -78.8)",1818.0,lockport,us
5267,Burlington,5172,Valid,"Iron, IIIE",68000.0,Found,42.75,-75.18333,"(42.75, -75.18333)",1819.0,oneonta,us
15943,Guilford County,11444,Valid,"Iron, IIIAB",1100.0,Found,35.56667,-79.83333,"(35.56667, -79.83333)",1822.0,asheboro,us
702,Nobleborough,16984,Valid,Eucrite-pmict,2300.0,Fell,44.08333,-69.48333000000001,"(44.08333, -69.48333)",1823.0,waldoboro,us
674,Nanjemoy,16904,Valid,H6,7500.0,Fell,38.41667,-77.16667,"(38.41667, -77.16667)",1825.0,la plata,us
383,Honolulu,11904,Valid,L5,2420.0,Fell,21.3,-157.86667,"(21.3, -157.86667)",1825.0,honolulu,us
257,Drake Creek,7728,Valid,L6,5000.0,Fell,36.4,-86.5,"(36.4, -86.5)",1827.0,gallatin,us
854,Richmond,22603,Valid,LL5,1800.0,Fell,37.46667,-77.5,"(37.46667, -77.5)",1828.0,bon air,us
230,Deal,6634,Valid,L6,28.0,Fell,40.25,-74.0,"(40.25, -74.0)",1829.0,asbury park,us
307,Forsyth,10164,Valid,L6,16300.0,Fell,33.01667,-83.96667,"(33.01667, -83.96667)",1829.0,griffin,us
38248,Walker County,24204,Valid,"Iron, IIAB",74800.0,Found,34.0,-87.16667,"(34.0, -87.16667)",1832.0,jasper,us
21637,Lime Creek,14651,Valid,"Iron, IAB-ung",20000.0,Found,31.55,-87.51666999999999,"(31.55, -87.51667)",1834.0,saraland,us
187,Charlotte,5328,Valid,"Iron, IVA",4300.0,Fell,36.16667,-87.33333,"(36.16667, -87.33333)",1835.0,dickson,us
38306,Wichita County,24257,Valid,"Iron, IAB-MG",145000.0,Found,34.06667,-98.91667,"(34.06667, -98.91667)",1836.0,burkburnett,us
5548,Cosby's Creek,5450,Valid,"Iron, IAB-MG",960000.0,Found,35.78333,-83.25,"(35.78333, -83.25)",1837.0,sevierville,us
32066,Putnam County,18906,Valid,"Iron, IVA",32700.0,Found,33.25,-83.25,"(33.25, -83.25)",1839.0,eatonton,us
546,Little Piney,14664,Valid,L5,491.0,Fell,37.91667,-92.08333,"(37.91667, -92.08333)",1839.0,rolla,us
37670,Smithland,23650,Valid,"Iron, IVA",5000.0,Found,37.13333,-88.4,"(37.13333, -88.4)",1839.0,paducah,us
5127,Black Mountain,5066,Valid,"Iron, IAB-MG",800.0,Found,35.58333,-82.35,"(35.58333, -82.35)",1839.0,asheville,us
3463,Asheville,2347,Valid,"Iron, IIIAB",800.0,Found,35.58333,-82.53333,"(35.58333, -82.53333)",1839.0,asheville,us
5390,Carthage,5282,Valid,"Iron, IIIAB",127000.0,Found,36.26667,-85.98333000000001,"(36.26667, -85.98333)",1840.0,lebanon,us
37674,Smithville,23654,Valid,"Iron, IAB-MG",70500.0,Found,35.98333,-85.85,"(35.98333, -85.85)",1840.0,cookeville,us
5014,Babb's Mill (Troost's Iron),4916,Valid,"Iron, ungrouped",6400.0,Found,36.3,-82.88333,"(36.3, -82.88333)",1842.0,greeneville,us
118,Bishopville,5059,Valid,Aubrite,6000.0,Fell,34.16667,-80.28333,"(34.16667, -80.28333)",1843.0,sumter,us
